C -O0,Java
315118.096636,259350.501299
108994.353003,54565.019318
46217.387458,23276.038717
22693.874836,12036.291081
15860.978875,8057.854834
12007.928413,6333.761996
8372.317872,4507.108088
6263.134790,3551.338417
64635.454909,71098.986311
23891.890047,26874.933260
17979.105380,13320.219257
9379.873935,10740.372234
6683.605613,9991.077309
5245.373847,3852.654489
2435.714251,2120.847460
2192.773646,1942.842670
32548.886949,36163.379464
12027.805372,13530.311603
9000.264144,6621.450154
4826.546012,5591.044635
3324.502540,5040.441993
2510.667011,3082.629901
1532.598469,1202.929334
1094.212037,942.506253
21770.802402,23990.218723
7964.034466,9414.187638
6095.951216,4580.809143
3327.658961,3610.087746
2256.029898,3384.840409
1735.931091,1182.001397
1088.249550,850.404710
701.556534,763.943785
16418.103509,18091.438125
5951.765158,6888.886740
4580.227101,3401.269528
2490.175098,2729.283741
1644.670210,2554.114168
1281.251197,1245.632511
776.792494,793.812692
581.505363,448.590040
13132.671653,14593.731032
4753.427145,5453.982801
3655.141210,2758.035593
1996.424672,2232.382407
1308.037438,2048.334468
1021.350947,989.354925
625.295892,779.583365
490.176247,457.717717
10931.697525,12123.591991
3947.439680,4576.449768
3078.833247,2696.006521
1597.643417,1809.890185
1093.914127,1732.768775
836.101720,781.850766
505.700956,589.687731
457.086696,418.756005
