n,workers,threads,total_cpus,opt_level,time
28800,1,32,32,2,2982.953570
28800,1,32,32,3,3104.821110
28800,1,32,32,1,3140.212342
28800,5,32,160,0,2192.773646
28800,1,32,32,0,6263.134790
28800,5,32,160,1,1377.172943
28800,5,32,160,2,1075.504185
28800,1,24,24,0,8372.317872
28800,5,32,160,3,1024.376885
28800,5,24,120,0,2435.714251
28800,1,24,24,1,4101.447453
28800,5,24,120,1,1096.804695
28800,5,24,120,2,1373.316757
28800,5,24,120,3,1470.022480
28800,1,24,24,2,3934.887008
28800,1,24,24,3,3971.320037
28800,5,16,80,0,5245.373847
28800,5,16,80,1,2513.007033
28800,5,16,80,2,1926.644171
28800,5,16,80,3,2456.538085
28800,1,16,16,0,12007.928413
28800,5,12,60,0,6683.605613
28800,1,16,16,1,5588.682815
28800,5,12,60,1,3590.527410
28800,5,12,60,2,3189.844378
28800,1,16,16,2,5641.159677
28800,5,12,60,3,3123.778352
28800,1,16,16,3,5699.024032
28800,5,8,40,0,9379.873935
28800,5,8,40,1,3670.505686
28800,5,8,40,2,4030.723560
28800,1,12,12,0,15860.978875
28800,5,8,40,3,3891.423364
28800,1,12,12,1,7043.437062
28800,1,12,12,2,7139.451919
28800,5,4,20,0,17979.105380
28800,1,12,12,3,7071.178095
28800,5,4,20,1,5557.739601
28800,5,4,20,2,5761.675539
28800,5,4,20,3,7520.455188
28800,1,8,8,0,22693.874836
28800,1,8,8,1,10149.680421
28800,5,2,10,0,23891.890047
28800,1,8,8,2,10061.916868
28800,5,2,10,1,11875.933484
28800,1,8,8,3,10542.174482
28800,5,2,10,2,12146.976295
28800,5,2,10,3,11239.737585
28800,1,4,4,0,46217.387458
28800,1,4,4,1,20211.295345
28800,5,1,5,0,64635.454909
28800,1,4,4,2,20047.325056
28800,30,32,960,0,457.086696
28800,30,32,960,1,295.737365
28800,30,32,960,2,255.859557
28800,30,32,960,3,225.669317
28800,30,24,720,0,505.700956
28800,30,24,720,1,289.433706
28800,30,24,720,2,234.479821
28800,30,24,720,3,314.671647
28800,25,32,800,0,490.176247
28800,25,32,800,1,259.423186
28800,25,32,800,2,272.249437
28800,25,32,800,3,261.564120
28800,1,4,4,3,20015.544704
28800,5,1,5,1,35373.367069
28800,30,16,480,0,836.101720
28800,30,16,480,1,519.791161
28800,30,16,480,2,494.530427
28800,30,16,480,3,498.718774
28800,25,24,600,0,625.295892
28800,25,24,600,1,320.071819
28800,25,24,600,2,304.687453
28800,25,24,600,3,312.284945
28800,5,1,5,2,35184.436961
28800,30,12,360,0,1093.914127
28800,20,32,640,0,581.505363
28800,20,32,640,1,364.569095
28800,20,32,640,2,327.363724
28800,20,32,640,3,331.907456
28800,30,12,360,1,606.181155
28800,30,12,360,2,625.813918
28800,30,12,360,3,602.387333
28800,30,8,240,0,1597.643417
28800,30,8,240,1,756.651119
28800,30,8,240,2,785.606484
28800,30,8,240,3,799.029025
28800,25,16,400,0,1021.350947
28800,25,16,400,1,631.679291
28800,25,16,400,2,585.121054
28800,25,16,400,3,592.295152
28800,20,24,480,0,776.792494
28800,20,24,480,1,394.469911
28800,20,24,480,2,385.570711
28800,20,24,480,3,405.763770
28800,25,12,300,0,1308.037438
28800,25,12,300,1,719.702810
28800,25,12,300,2,745.843051
28800,25,12,300,3,745.763443
28800,5,1,5,3,34913.086699
28800,1,2,2,0,108994.353003
28800,30,4,120,0,3078.833247
28800,30,4,120,1,1205.707212
28800,30,4,120,2,1342.413030
28800,30,4,120,3,1408.394711
28800,30,2,60,0,3947.439680
28800,30,2,60,1,2039.362730
28800,30,2,60,2,2389.345724
28800,30,2,60,3,2083.965853
28800,20,16,320,0,1281.251197
28800,20,16,320,1,715.890806
28800,20,16,320,2,738.159243
28800,20,16,320,3,717.513520
28800,15,32,480,0,701.556534
28800,15,32,480,1,532.593494
28800,15,32,480,2,471.789431
28800,15,32,480,3,445.232291
28800,1,2,2,2,46655.984614
28800,1,2,2,3,46837.618731
28800,1,2,2,1,48282.610455
28800,25,8,200,1,833.411705
28800,1,1,1,2,170749.694536
28800,30,1,30,0,10931.697525
28800,30,1,30,1,5936.800731
28800,30,1,30,2,5874.442842
28800,30,1,30,3,5935.437774
28800,25,8,200,2,941.310787
28800,25,8,200,3,911.556409
28800,20,12,240,0,1644.670210
28800,20,12,240,1,946.803429
28800,20,12,240,2,871.012739
28800,20,12,240,3,933.332817
28800,25,4,100,0,3655.141210
28800,25,4,100,1,1415.598276
28800,25,4,100,2,1681.449969
28800,25,4,100,3,1610.830634
28800,15,24,360,0,1088.249550
28800,15,24,360,1,515.613598
28800,15,24,360,2,488.838044
28800,15,24,360,3,487.814613
28800,25,2,50,0,4753.427145
28800,25,2,50,1,2273.813942
28800,25,2,50,2,2512.877475
28800,25,2,50,3,2252.348416
28800,20,8,160,0,2490.175098
28800,20,8,160,1,1058.108292
28800,20,8,160,2,1149.664659
28800,20,8,160,3,1184.464976
28800,25,1,25,0,13132.671653
28800,25,1,25,1,7082.446271
28800,25,1,25,2,7080.226280
28800,25,1,25,3,7096.055921
28800,20,4,80,0,4580.227101
28800,20,4,80,1,1819.363468
28800,20,4,80,2,1602.843667
28800,20,4,80,3,1778.132035
28800,10,32,320,0,1094.212037
28800,15,16,240,0,1735.931091
28800,15,16,240,1,977.277790
28800,10,32,320,1,592.007921
28800,15,16,240,2,963.018395
28800,10,32,320,2,623.816294
28800,15,16,240,3,843.715574
28800,10,32,320,3,571.747569
28800,20,2,40,0,5951.765158
28800,20,2,40,1,3043.019714
28800,20,2,40,2,2822.788794
28800,20,2,40,3,2891.486465
28800,20,1,20,0,16418.103509
28800,20,1,20,1,8906.920823
28800,1,1,1,0,315118.096636
28800,20,1,20,2,8883.313409
28800,20,1,20,3,8879.930492
28800,15,12,180,0,2256.029898
28800,15,12,180,1,1059.473268
28800,15,12,180,2,1206.810946
28800,15,12,180,3,1205.144749
28800,10,24,240,0,1532.598469
28800,10,24,240,1,698.590984
28800,10,24,240,2,773.480719
28800,10,24,240,3,686.115309
28800,15,8,120,0,3327.658961
28800,15,8,120,1,1307.724324
28800,15,8,120,2,1552.529806
28800,15,8,120,3,1536.193352
28800,15,4,60,0,6095.951216
28800,15,4,60,1,2263.880126
28800,15,4,60,2,2503.979394
28800,10,16,160,0,2510.667011
28800,10,16,160,1,1439.896820
28800,1,1,1,1,173296.415262
28800,15,4,60,3,2767.477437
28800,10,16,160,2,1433.910518
28800,10,16,160,3,1454.979968
28800,1,1,1,3,175506.372391
28800,15,2,30,1,3787.658928
28800,15,2,30,0,7964.034466
28800,15,2,30,2,4740.403251
28800,15,2,30,3,3767.563913
28800,15,1,15,1,11914.638504
28800,15,1,15,0,21770.802402
28800,10,12,120,0,3324.502540
28800,15,1,15,2,11771.391859
28800,10,12,120,1,1709.579011
28800,10,12,120,2,1757.031187
28800,10,12,120,3,1798.801418
28800,10,8,80,0,4826.546012
28800,10,8,80,1,1976.474689
28800,10,8,80,2,2327.651732
28800,15,1,15,3,11748.603350
28800,10,8,80,3,2232.747352
28800,10,4,40,1,3024.221497
28800,10,4,40,2,3320.538839
28800,10,4,40,0,9000.264144
28800,10,4,40,3,3354.105429
28800,10,2,20,1,5805.583051
28800,10,2,20,0,12027.805372
28800,10,2,20,2,6074.164057
28800,10,2,20,3,5368.982847
