n,workers,threads,total_cpus,opt_level,time
28800,1,32,32,2,2923.713550
28800,1,32,32,3,3073.708640
28800,1,32,32,1,3138.901806
28800,1,32,32,0,6303.387721
28800,1,12,12,2,6856.957680
28800,1,12,12,3,6916.947238
28800,1,12,12,1,7017.869841
28800,1,12,12,0,15948.019351
28800,1,1,1,2,166987.706206
28800,1,1,1,1,168889.662950
28800,1,1,1,3,169445.068187
28800,1,1,1,0,315939.842738
28800,30,32,960,0,389.003625
28800,30,32,960,1,244.465118
28800,30,32,960,2,224.372795
28800,30,32,960,3,224.201574
28800,30,12,360,0,1070.782591
28800,30,12,360,1,555.355740
28800,30,12,360,2,588.765726
28800,30,12,360,3,616.643761
28800,15,32,480,1,478.055381
28800,15,32,480,0,780.237900
28800,15,32,480,3,416.484382
28800,15,32,480,2,538.581785
28800,30,1,30,0,10944.830805
28800,30,1,30,1,5931.861278
28800,30,1,30,2,5928.519596
28800,30,1,30,3,5947.306790
28800,15,12,180,1,1021.332448
28800,15,12,180,0,2172.411686
28800,15,12,180,3,1145.756128
28800,15,12,180,2,1196.608551
28800,15,1,15,1,11837.331405
28800,15,1,15,0,21778.946246
28800,15,1,15,3,11827.374324
28800,15,1,15,2,11788.644084
28800,1,16,16,2,5380.868514
28800,1,16,16,1,5548.530041
28800,1,16,16,3,5602.528450
28800,1,8,8,3,10258.023649
28800,1,8,8,1,10323.180297
28800,1,8,8,2,10374.025845
28800,1,16,16,0,12151.560385
28800,1,4,4,3,19909.850423
28800,1,4,4,2,20343.769342
28800,1,4,4,1,20554.612722
28800,1,8,8,0,22994.535072
28800,1,4,4,0,46509.111117
28800,30,16,480,0,874.591444
28800,30,16,480,1,501.243470
28800,30,16,480,2,548.810512
28800,30,16,480,3,571.329993
28800,30,8,240,0,1662.366659
28800,30,8,240,1,729.498630
28800,30,8,240,2,796.062324
28800,30,8,240,3,802.644084
28800,30,4,120,0,3067.001705
28800,30,4,120,1,1287.602067
28800,30,4,120,2,1317.354924
28800,30,4,120,3,1303.507599
28800,15,16,240,1,935.950399
28800,15,16,240,0,1688.812070
28800,15,16,240,3,969.815946
28800,15,16,240,2,948.125518
28800,15,8,120,1,1448.797285
28800,15,8,120,3,1371.122329
28800,15,8,120,0,3256.399729
28800,15,4,60,1,2381.502152
28800,15,8,120,2,1496.043084
28800,15,4,60,3,2442.493970
28800,15,4,60,0,6042.755875
28800,15,4,60,2,2502.287577
28800,1,20,20,0,9977.805195
28800,1,2,2,1,46789.224721
28800,1,2,2,3,46858.783723
28800,1,2,2,2,47371.080222
28800,1,2,2,0,115646.887619
28800,30,20,600,0,618.652140
28800,30,20,600,1,342.589437
28800,30,20,600,2,305.776330
28800,30,20,600,3,314.789896
28800,30,2,60,0,3960.553540
28800,30,2,60,1,1974.853109
28800,30,2,60,2,2167.502306
28800,30,2,60,3,2010.386339
28800,15,20,300,1,581.170652
28800,15,20,300,3,575.284978
28800,15,20,300,0,1198.222547
28800,15,20,300,2,688.556894
28800,15,2,30,1,4012.909162
28800,15,2,30,3,3907.758712
28800,15,2,30,0,7863.155092
28800,15,2,30,2,3877.980036
28800,1,20,20,3,4589.324314
28800,1,20,20,2,4747.848343
28800,1,20,20,1,4770.207773
28800,15,24,360,0,992.376708
28800,1,24,24,2,3966.534382
28800,1,24,24,3,3977.589696
28800,1,24,24,1,3987.985834
28800,1,24,24,0,8384.482313
28800,30,24,720,0,505.165469
28800,30,24,720,1,245.484089
28800,30,24,720,2,279.866121
28800,30,24,720,3,276.167252
28800,15,24,360,2,442.462875
28800,15,24,360,1,466.820079
28800,15,24,360,3,489.692309
