n,workers,threads,total_cpus,opt_level,time
28800,1,24,24,3,3902.345811
28800,1,24,24,2,3950.583006
28800,1,24,24,1,4034.840214
28800,1,24,24,0,8476.384465
28800,1,4,4,1,19980.239843
28800,1,4,4,2,20178.880398
28800,1,4,4,3,21037.503644
28800,1,4,4,0,45967.967076
28800,1,2,2,3,48463.492699
28800,1,2,2,1,49262.323102
28800,1,2,2,2,49557.787413
28800,1,2,2,0,112959.958597
28800,1,1,1,2,166260.863509
28800,1,1,1,1,167073.056355
28800,1,32,32,2,2997.474489
28800,1,32,32,1,3147.891577
28800,1,1,1,3,172608.866380
28800,1,32,32,3,3079.578585
28800,1,12,12,2,6942.695640
28800,1,12,12,1,7033.743623
28800,1,12,12,3,7152.491791
28800,1,1,1,0,315100.507878
